city,latitude,longitude,source_type
Karachi,24.8607,67.0011,model_based_coordinate
Lahore,31.5204,74.3587,model_based_coordinate
Islamabad,33.6844,73.0479,model_based_coordinate
Peshawar,34.0151,71.5249,model_based_coordinate
Quetta,30.1798,66.9750,model_based_coordinate
Multan,30.1575,71.5249,model_based_coordinate
Faisalabad,31.4504,73.1350,model_based_coordinate
Rawalpindi,33.5651,73.0169,model_based_coordinate
Hyderabad,25.3960,68.3578,model_based_coordinate
Gujranwala,32.1877,74.1945,model_based_coordinate
